央视频道,#genre#
CCTV电视指南,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/085/2024172503.m3u8$央视频1080P#http://120.76.248.139/live/bfgd/4200000164.m3u8#http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226717/index.m3u8#http://103.1.169.57/sx.v.smtcdns.net/123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/116/2012514003.m3u8#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012514003.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://bkpcp.ddns.net:8000/ysp.php?id=dszn
CCTV女性时尚,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=nxss&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV女性时尚,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/010/2024172203.m3u8$央视频1080P#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078715ba68/index.m3u8?m3u8_level=2$湖北移动iPv6
CCTV卫生健康,http://vapi.91kds.cc/live1/udp.m3u8?ip=tianjin-dx&id=239.5.1.131:5000&apiKey=73c963d13814ce7d0e4743c5e7d033cc$天津电信#http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660D6E65U3095F083K774E2EA1IFFFFFFFFPBM2FB0704V10465Z224E9WF926CA84951&playtoken=&programid=4200000102.m3u8$标清#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/151/2024165203.m3u8$央视频1080P#https://www.sxtv.top/cctv.php?id=wsjk#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513503.m3u8#http://bkpcp.ddns.net:8000/ysp.php?id=wsjk#http://ygbh.live/ysp.php?id=wsjk
CCTV卫生健康,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=wsjk&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
中央新影-中学生,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zxs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.200.136:8060$云南电信#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通#http://pwd.unnas.top:4000/udp/239.253.92.27:6106$河北联通
中央新影-老故事,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=lgs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://60.6.111.113:808/hls/81/index.m3u8$河北邢台联通酒店#http://pwd.unnas.top:4000/udp/239.253.92.132:8068
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8$北方广电#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fxzl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://enlen.vip:4022/udp/239.200.201.164:8128$云南电信#http://dp.sxtv.top:88/md/cqyx.php?id=fxzl$重庆有线#http://pwd.unnas.top:4000/udp/239.253.94.30:6629#http://113.9.161.254:88/hls/28/index.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=
央广购物,https://newapplive.cnrmall.com/live/cnrxp_HD1200.m3u8$官方源#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=yggw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
购物（多平台）,http://[2409:8087:1a0a:df::4036]/wh7f454c46tw2542311669_1643720601/[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226091/index.m3u8?icpid=88888888&RTS=1710670836&from=4&hms_devid=1209&vqe=3
CGTN,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN西班牙语,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN法语,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN阿拉伯语,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTN俄语,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvnews&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN纪录,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv9y&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN西班牙语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctve&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN法语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvf&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN阿拉伯语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctva&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN俄语,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctvr&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CGTN,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/035/2024181703.m3u8$央视频1080P#https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8$RTHK源
CGTN纪录,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/003/2024182303.m3u8$央视频1080P#https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8$官方源#https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8$RTHK源
CGTN西班牙语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/015/2024182103.m3u8$央视频1080P 
CGTN法语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/032/2024181803.m3u8$央视频1080P
CGTN阿拉伯语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/024/2024182003.m3u8$央视频1080P 
CGTN俄语,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/027/2024181903.m3u8$央视频1080P
CHC动作电影,http://60.255.240.247:8090/live/wqCHCdzdyH265_4000.m3u8$蜀小果源
CHC家庭影院,http://60.255.240.247:8090/live/jbtygqCHCjtyyH265_4000.m3u8$蜀小果源
CHC影迷电影,http://60.255.240.247:8090/live/lnwsCHC-HDH265_4000.m3u8$蜀小果源
CHC动作电影,http://cg1.hunancatv.cn:9090/live/CHCDZDY_8000.m3u8?t=GybtsMb6rF4QAbWTetat6g%3D%3D&u=HNTV01YU00021202&p=8&cid=100000189&pid=&l=1&d=48555E45F7FC&ip=192.168.197.8&n=CHCDZDY_8000&errorcode=0&sid=Cr7LfDpXE67QA0Nus2tGvg%3D%3D&r=20231212111337&e=20231212151337&nc=RcaFZlcDLlzv&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422696805&srchost=172.16.22.158:8060&gid=f1hKFIYFjbQUf%2BTk5FhuTg%3D%3D$湖南广电
CHC家庭影院,http://cg14.hunancatv.cn:9090/live/CHCJTYY_8000.m3u8?t=D360byGt%2BpZL3Wo1xiFxAw%3D%3D&u=HNTV01YU00021202&p=8&cid=100000190&pid=&l=1&d=48555E45F7FC&ip=192.168.197.125&n=CHCJTYY_8000&errorcode=0&sid=dc0dvd1mPBtLnOcG8ia8jA%3D%3D&r=20231212111401&e=20231212151401&nc=XOLY5A6gm03W&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422697120&srchost=172.16.22.158:8060&gid=DHldhfgdMMpjpVp6NSOZqw%3D%3D$湖南广电
CHC影迷电影,http://cg6.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?t=VwFiKC8%2Fi8f%2B6CDdOS5f5A%3D%3D&u=HNTV01YU00021202&p=8&cid=10000081&pid=&l=1&d=48555E45F7FC&ip=192.168.197.127&n=CHCGQ_8000&errorcode=0&sid=MlE%2BuV%2FON7MM6310fiBTpg%3D%3D&r=20231212111248&e=20231212151248&nc=bHZFrU2ASl02&a=1111&pd=60&errorReason=0&v=2&project=WNTV&hlsSessionID=4379470835422696237&srchost=172.16.22.158:8060&gid=P%2BUM0yvAUJ7cFgaqUZr56A%3D%3D$湖南广电
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8$北方广电
中国电影,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zgdy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://171.108.239.80:8181/tsfile/live/1013_1.m3u8$广西贵港电信酒店#http://110.72.76.106:8181/tsfile/live/1088_1.m3u8$广西贵港联通酒店
中国教育1,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8#http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202$央视频1080P
中国教育2,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
中国教育3,http://vapi.91kds.cc/live1/udp.m3u8?ip=beijing-lt&id=239.3.1.55:4120&apiKey=73c963d13814ce7d0e4743c5e7d033cc$北京联通#http://vapi.91kds.cc/live1/udp.m3u8?ip=beijing-dx&id=225.1.0.240:1025&apiKey=73c963d13814ce7d0e4743c5e7d033cc$北京电信#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cetv3&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源##http://120.76.248.139/live/gitvgd/cetv3.m3u8#http://61.51.141.145:8888/rtp/239.3.1.55:4120#http://111.20.35.108:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://39.134.24.162:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
中国教育4,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CETV早期教育,http://ha.xushining.com:50000/udp/225.1.2.207:5002$天津联通#http://itms.xznet.org:41097/rtp/239.254.201.230:7253$河北电信#http://60.7.56.50:4000/rtp/239.253.93.164:6440$河北联通

IPTV·专享,#genre#
IPTV3+,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptv3&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV5+,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptv5&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV6+,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptv6&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV8+,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptv8&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV谍战剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvdzjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV法治,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvfz&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV经典电影,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvjddy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV热播剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvrbjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV少儿动画,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvsedh&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV收视指南,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvsszn&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV相声小品,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvxsxp&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV野外,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvyw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV魅力时尚,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=iptvmlss&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
IPTV3+,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000082/index.m3u8?IASHttpSessionId=OTT
IPTV5+,http://www.lebaobei.top:6868/udp/239.255.30.115:8231$甘肃电信高清#http://summer-xa.icopylock.com:8888/udp/239.111.205.10:5140$陕西电信标清#http://opdf.top:8088/udp/239.81.0.12:4056$广西电信标清#http://opdf.top:8088/udp/239.81.0.12:4056$广西电信标清#http://220.168.77.132:8082/hls/6/index.m3u8#http://61.52.156.198:808/hls/75/index.m3u8
IPTV6+,http://n1.dddmmh.space:8088/udp/225.0.4.50:7980#http://www.8700956.top:18888/udp/239.81.0.65:4056
IPTV8+,http://n1.dddmmh.space:8088/udp/225.0.4.54:7980
IPTV足球,http://www.8700956.top:18888/udp/239.81.0.97:4056#http://opdf.top:8088/udp/239.81.0.97:4056
IPTV法治,http://www.dsmcloud.top:8888/udp/239.81.0.20:4056
IPTV野外,http://www.8700956.top:18888/udp/239.81.0.18:4056
IPTV经典电影,http://58.87.105.195:80/udp/225.1.8.203:9024
IPTV热播剧场,http://58.87.105.195:80/udp/225.1.8.202:9020
IPTV魅力时尚,http://58.87.105.195:80/udp/225.1.8.204:9012
IPTV相声小品,http://n1.dddmmh.space:8088/udp/225.0.4.56:7980
IPTV收视指南,http://47.94.21.78:80/udp/225.1.8.201:8012
IPTV热播剧场,http://47.94.21.78:80/udp/225.1.8.202:9020
IPTV经典电影,http://47.94.21.78:80/udp/225.1.8.203:9024
IPTV魅力时尚,http://47.94.21.78:80/udp/225.1.8.204:9012
IPTV少儿动画,http://58.87.105.195:80/udp/225.1.8.207:9000
IPTV-1央视精品,http://ddns.cyruslee.top:8888/udp/239.77.1.75:5146
IPTV-2央视精品,http://ddns.cyruslee.top:8888/udp/239.77.1.63:5146
IPTV-3央视精品,http://ddns.cyruslee.top:8888/udp/239.77.1.64:5146
IPTV-4央视精品,http://ddns.cyruslee.top:8888/udp/239.77.1.56:5146

卫视频道,#genre#
